[16/11/2018 22:30:54], epoch: 1, t/smpl: 0.003s, net_loss: 0.608 
[16/11/2018 22:31:17], epoch: 2, t/smpl: 0.029s, net_loss: 0.598 
[16/11/2018 22:31:39], epoch: 3, t/smpl: 0.003s, net_loss: 0.593 
[16/11/2018 22:32:02], epoch: 4, t/smpl: 0.035s, net_loss: 0.593 
[16/11/2018 22:32:24], epoch: 5, t/smpl: 0.004s, net_loss: 0.588 
[16/11/2018 22:32:46], epoch: 6, t/smpl: 0.003s, net_loss: 0.586 
[16/11/2018 22:33:08], epoch: 7, t/smpl: 0.035s, net_loss: 0.587 
[16/11/2018 22:33:31], epoch: 8, t/smpl: 0.036s, net_loss: 0.585 
[16/11/2018 22:33:54], epoch: 9, t/smpl: 0.003s, net_loss: 0.582 
[16/11/2018 22:34:16], epoch: 10, t/smpl: 0.003s, net_loss: 0.577 
[16/11/2018 22:34:38], epoch: 11, t/smpl: 0.035s, net_loss: 0.573 
[16/11/2018 22:35:01], epoch: 12, t/smpl: 0.035s, net_loss: 0.569 
[16/11/2018 22:35:23], epoch: 13, t/smpl: 0.003s, net_loss: 0.566 
[16/11/2018 22:35:45], epoch: 14, t/smpl: 0.003s, net_loss: 0.564 
[16/11/2018 22:36:07], epoch: 15, t/smpl: 0.004s, net_loss: 0.565 
[16/11/2018 22:36:29], epoch: 16, t/smpl: 0.012s, net_loss: 0.565 
[16/11/2018 22:36:52], epoch: 17, t/smpl: 0.036s, net_loss: 0.562 
[16/11/2018 22:37:15], epoch: 18, t/smpl: 0.003s, net_loss: 0.562 
[16/11/2018 22:37:39], epoch: 19, t/smpl: 0.035s, net_loss: 0.563 
[16/11/2018 22:38:01], epoch: 20, t/smpl: 0.035s, net_loss: 0.559 
[16/11/2018 22:38:24], epoch: 21, t/smpl: 0.035s, net_loss: 0.563 
[16/11/2018 22:38:46], epoch: 22, t/smpl: 0.003s, net_loss: 0.559 
[16/11/2018 22:39:09], epoch: 23, t/smpl: 0.003s, net_loss: 0.561 
[16/11/2018 22:39:31], epoch: 24, t/smpl: 0.004s, net_loss: 0.556 
[16/11/2018 22:39:53], epoch: 25, t/smpl: 0.035s, net_loss: 0.559 
[16/11/2018 22:40:16], epoch: 26, t/smpl: 0.003s, net_loss: 0.560 
[16/11/2018 22:40:38], epoch: 27, t/smpl: 0.004s, net_loss: 0.556 
[16/11/2018 22:41:01], epoch: 28, t/smpl: 0.003s, net_loss: 0.555 
[16/11/2018 22:41:23], epoch: 29, t/smpl: 0.004s, net_loss: 0.555 
[16/11/2018 22:41:45], epoch: 30, t/smpl: 0.003s, net_loss: 0.556 
[16/11/2018 22:42:07], epoch: 31, t/smpl: 0.003s, net_loss: 0.556 
[16/11/2018 22:42:30], epoch: 32, t/smpl: 0.004s, net_loss: 0.554 
