[16/11/2018 16:21:33], epoch: 1, t/smpl: 0.007s, net_loss: 0.620 
[16/11/2018 16:21:52], epoch: 2, t/smpl: 0.004s, net_loss: 0.594 
[16/11/2018 16:22:12], epoch: 3, t/smpl: 0.002s, net_loss: 0.592 
[16/11/2018 16:22:32], epoch: 4, t/smpl: 0.003s, net_loss: 0.589 
[16/11/2018 16:22:52], epoch: 5, t/smpl: 0.004s, net_loss: 0.588 
[16/11/2018 16:23:11], epoch: 6, t/smpl: 0.003s, net_loss: 0.587 
[16/11/2018 16:23:33], epoch: 7, t/smpl: 0.003s, net_loss: 0.586 
[16/11/2018 16:23:52], epoch: 8, t/smpl: 0.015s, net_loss: 0.584 
[16/11/2018 16:24:14], epoch: 9, t/smpl: 0.002s, net_loss: 0.585 
[16/11/2018 16:24:34], epoch: 10, t/smpl: 0.002s, net_loss: 0.583 
[16/11/2018 16:24:55], epoch: 11, t/smpl: 0.003s, net_loss: 0.582 
[16/11/2018 16:25:17], epoch: 12, t/smpl: 0.003s, net_loss: 0.582 
[16/11/2018 16:25:37], epoch: 13, t/smpl: 0.003s, net_loss: 0.581 
[16/11/2018 16:25:57], epoch: 14, t/smpl: 0.003s, net_loss: 0.581 
[16/11/2018 16:26:16], epoch: 15, t/smpl: 0.004s, net_loss: 0.582 
[16/11/2018 16:26:36], epoch: 16, t/smpl: 0.003s, net_loss: 0.581 
[16/11/2018 16:26:56], epoch: 17, t/smpl: 0.004s, net_loss: 0.579 
[16/11/2018 16:27:16], epoch: 18, t/smpl: 0.022s, net_loss: 0.577 
[16/11/2018 16:27:35], epoch: 19, t/smpl: 0.007s, net_loss: 0.579 
[16/11/2018 16:27:55], epoch: 20, t/smpl: 0.003s, net_loss: 0.578 
[16/11/2018 16:28:15], epoch: 21, t/smpl: 0.003s, net_loss: 0.577 
[16/11/2018 16:28:34], epoch: 22, t/smpl: 0.003s, net_loss: 0.577 
[16/11/2018 16:28:54], epoch: 23, t/smpl: 0.003s, net_loss: 0.576 
[16/11/2018 16:29:14], epoch: 24, t/smpl: 0.035s, net_loss: 0.576 
[16/11/2018 16:29:34], epoch: 25, t/smpl: 0.003s, net_loss: 0.577 
[16/11/2018 16:29:53], epoch: 26, t/smpl: 0.002s, net_loss: 0.579 
[16/11/2018 16:30:13], epoch: 27, t/smpl: 0.003s, net_loss: 0.578 
[16/11/2018 16:30:33], epoch: 28, t/smpl: 0.035s, net_loss: 0.576 
[16/11/2018 16:30:53], epoch: 29, t/smpl: 0.035s, net_loss: 0.579 
[16/11/2018 16:31:13], epoch: 30, t/smpl: 0.034s, net_loss: 0.575 
[16/11/2018 16:31:32], epoch: 31, t/smpl: 0.022s, net_loss: 0.575 
[16/11/2018 16:31:52], epoch: 32, t/smpl: 0.005s, net_loss: 0.577 
[16/11/2018 16:32:12], epoch: 33, t/smpl: 0.003s, net_loss: 0.575 
[16/11/2018 16:32:31], epoch: 34, t/smpl: 0.002s, net_loss: 0.575 
[16/11/2018 16:32:51], epoch: 35, t/smpl: 0.003s, net_loss: 0.575 
