[17/11/2018 08:21:19], epoch: 1, t/smpl: 0.000s, net_loss: 0.612 
[17/11/2018 08:21:36], epoch: 2, t/smpl: 0.000s, net_loss: 0.597 
[17/11/2018 08:21:54], epoch: 3, t/smpl: 0.000s, net_loss: 0.596 
[17/11/2018 08:22:13], epoch: 4, t/smpl: 0.004s, net_loss: 0.593 
[17/11/2018 08:22:32], epoch: 5, t/smpl: 0.000s, net_loss: 0.593 
[17/11/2018 08:22:52], epoch: 6, t/smpl: 0.004s, net_loss: 0.591 
[17/11/2018 08:23:12], epoch: 7, t/smpl: 0.002s, net_loss: 0.590 
[17/11/2018 08:23:31], epoch: 8, t/smpl: 0.036s, net_loss: 0.591 
[17/11/2018 08:23:48], epoch: 9, t/smpl: 0.036s, net_loss: 0.591 
[17/11/2018 08:24:06], epoch: 10, t/smpl: 0.000s, net_loss: 0.592 
[17/11/2018 08:24:24], epoch: 11, t/smpl: 0.000s, net_loss: 0.593 
[17/11/2018 08:24:42], epoch: 12, t/smpl: 0.000s, net_loss: 0.589 
[17/11/2018 08:24:59], epoch: 13, t/smpl: 0.000s, net_loss: 0.589 
[17/11/2018 08:25:16], epoch: 14, t/smpl: 0.000s, net_loss: 0.591 
[17/11/2018 08:25:33], epoch: 15, t/smpl: 0.004s, net_loss: 0.590 
[17/11/2018 08:25:51], epoch: 16, t/smpl: 0.000s, net_loss: 0.592 
[17/11/2018 08:26:08], epoch: 17, t/smpl: 0.000s, net_loss: 0.588 
[17/11/2018 08:26:25], epoch: 18, t/smpl: 0.000s, net_loss: 0.587 
[17/11/2018 08:26:42], epoch: 19, t/smpl: 0.000s, net_loss: 0.588 
[17/11/2018 08:26:59], epoch: 20, t/smpl: 0.000s, net_loss: 0.589 
[17/11/2018 08:27:16], epoch: 21, t/smpl: 0.000s, net_loss: 0.591 
[17/11/2018 08:27:33], epoch: 22, t/smpl: 0.016s, net_loss: 0.588 
[17/11/2018 08:27:50], epoch: 23, t/smpl: 0.000s, net_loss: 0.586 
[17/11/2018 08:28:07], epoch: 24, t/smpl: 0.000s, net_loss: 0.588 
[17/11/2018 08:28:24], epoch: 25, t/smpl: 0.000s, net_loss: 0.588 
[17/11/2018 08:28:44], epoch: 26, t/smpl: 0.000s, net_loss: 0.589 
[17/11/2018 08:29:02], epoch: 27, t/smpl: 0.000s, net_loss: 0.588 
[17/11/2018 08:29:19], epoch: 28, t/smpl: 0.000s, net_loss: 0.588 
[17/11/2018 08:29:36], epoch: 29, t/smpl: 0.000s, net_loss: 0.587 
[17/11/2018 08:29:53], epoch: 30, t/smpl: 0.000s, net_loss: 0.588 
[17/11/2018 08:30:12], epoch: 31, t/smpl: 0.000s, net_loss: 0.586 
[17/11/2018 08:30:30], epoch: 32, t/smpl: 0.000s, net_loss: 0.589 
[17/11/2018 08:30:48], epoch: 33, t/smpl: 0.000s, net_loss: 0.586 
[17/11/2018 08:31:08], epoch: 34, t/smpl: 0.000s, net_loss: 0.589 
[17/11/2018 08:31:26], epoch: 35, t/smpl: 0.000s, net_loss: 0.589 
[17/11/2018 08:31:45], epoch: 36, t/smpl: 0.004s, net_loss: 0.587 
[17/11/2018 08:32:03], epoch: 37, t/smpl: 0.016s, net_loss: 0.588 
[17/11/2018 08:32:21], epoch: 38, t/smpl: 0.004s, net_loss: 0.588 
[17/11/2018 08:32:39], epoch: 39, t/smpl: 0.031s, net_loss: 0.586 
[17/11/2018 08:32:56], epoch: 40, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 08:33:13], epoch: 41, t/smpl: 0.004s, net_loss: 0.590 
[17/11/2018 08:33:31], epoch: 42, t/smpl: 0.000s, net_loss: 0.588 
[17/11/2018 08:33:49], epoch: 43, t/smpl: 0.016s, net_loss: 0.586 
[17/11/2018 08:34:07], epoch: 44, t/smpl: 0.016s, net_loss: 0.587 
[17/11/2018 08:34:25], epoch: 45, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 08:34:43], epoch: 46, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 08:35:00], epoch: 47, t/smpl: 0.000s, net_loss: 0.584 
[17/11/2018 08:35:18], epoch: 48, t/smpl: 0.004s, net_loss: 0.586 
[17/11/2018 08:35:35], epoch: 49, t/smpl: 0.016s, net_loss: 0.585 
[17/11/2018 08:35:53], epoch: 50, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 08:36:10], epoch: 51, t/smpl: 0.000s, net_loss: 0.584 
[17/11/2018 08:36:28], epoch: 52, t/smpl: 0.000s, net_loss: 0.587 
[17/11/2018 08:36:45], epoch: 53, t/smpl: 0.000s, net_loss: 0.587 
[17/11/2018 08:37:02], epoch: 54, t/smpl: 0.000s, net_loss: 0.586 
[17/11/2018 08:37:19], epoch: 55, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 08:37:36], epoch: 56, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 08:37:52], epoch: 57, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 08:38:09], epoch: 58, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 08:38:26], epoch: 59, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 08:38:47], epoch: 60, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 08:39:04], epoch: 61, t/smpl: 0.001s, net_loss: 0.584 
[17/11/2018 08:39:21], epoch: 62, t/smpl: 0.000s, net_loss: 0.583 
[17/11/2018 08:39:40], epoch: 63, t/smpl: 0.004s, net_loss: 0.586 
[17/11/2018 08:39:59], epoch: 64, t/smpl: 0.004s, net_loss: 0.585 
[17/11/2018 08:40:17], epoch: 65, t/smpl: 0.000s, net_loss: 0.586 
[17/11/2018 08:40:34], epoch: 66, t/smpl: 0.000s, net_loss: 0.586 
[17/11/2018 08:40:51], epoch: 67, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 08:41:11], epoch: 68, t/smpl: 0.004s, net_loss: 0.583 
[17/11/2018 08:41:30], epoch: 69, t/smpl: 0.000s, net_loss: 0.584 
[17/11/2018 08:41:49], epoch: 70, t/smpl: 0.004s, net_loss: 0.583 
[17/11/2018 08:42:10], epoch: 71, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 08:42:31], epoch: 72, t/smpl: 0.000s, net_loss: 0.583 
[17/11/2018 08:42:49], epoch: 73, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 08:43:07], epoch: 74, t/smpl: 0.004s, net_loss: 0.585 
[17/11/2018 08:43:27], epoch: 75, t/smpl: 0.000s, net_loss: 0.583 
[17/11/2018 08:43:44], epoch: 76, t/smpl: 0.000s, net_loss: 0.584 
[17/11/2018 08:44:02], epoch: 77, t/smpl: 0.000s, net_loss: 0.584 
[17/11/2018 08:44:20], epoch: 78, t/smpl: 0.000s, net_loss: 0.584 
[17/11/2018 08:44:38], epoch: 79, t/smpl: 0.004s, net_loss: 0.584 
[17/11/2018 08:44:58], epoch: 80, t/smpl: 0.038s, net_loss: 0.582 
[17/11/2018 08:45:16], epoch: 81, t/smpl: 0.000s, net_loss: 0.584 
[17/11/2018 08:45:33], epoch: 82, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 08:45:49], epoch: 83, t/smpl: 0.000s, net_loss: 0.583 
[17/11/2018 08:46:06], epoch: 84, t/smpl: 0.000s, net_loss: 0.584 
[17/11/2018 08:46:23], epoch: 85, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 08:46:42], epoch: 86, t/smpl: 0.004s, net_loss: 0.584 
[17/11/2018 08:47:03], epoch: 87, t/smpl: 0.004s, net_loss: 0.581 
[17/11/2018 08:47:23], epoch: 88, t/smpl: 0.004s, net_loss: 0.583 
[17/11/2018 08:47:43], epoch: 89, t/smpl: 0.000s, net_loss: 0.583 
[17/11/2018 08:48:03], epoch: 90, t/smpl: 0.000s, net_loss: 0.583 
[17/11/2018 08:48:21], epoch: 91, t/smpl: 0.004s, net_loss: 0.584 
[17/11/2018 08:48:42], epoch: 92, t/smpl: 0.004s, net_loss: 0.584 
[17/11/2018 08:49:01], epoch: 93, t/smpl: 0.000s, net_loss: 0.583 
[17/11/2018 08:49:21], epoch: 94, t/smpl: 0.004s, net_loss: 0.583 
[17/11/2018 08:49:39], epoch: 95, t/smpl: 0.004s, net_loss: 0.584 
[17/11/2018 08:50:00], epoch: 96, t/smpl: 0.004s, net_loss: 0.583 
[17/11/2018 08:50:21], epoch: 97, t/smpl: 0.004s, net_loss: 0.582 
[17/11/2018 08:50:42], epoch: 98, t/smpl: 0.004s, net_loss: 0.582 
[17/11/2018 08:51:00], epoch: 99, t/smpl: 0.000s, net_loss: 0.583 
[17/11/2018 08:51:18], epoch: 100, t/smpl: 0.004s, net_loss: 0.583 
[17/11/2018 08:51:37], epoch: 101, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 08:51:59], epoch: 102, t/smpl: 0.004s, net_loss: 0.587 
[17/11/2018 08:52:19], epoch: 103, t/smpl: 0.009s, net_loss: 0.583 
[17/11/2018 08:52:39], epoch: 104, t/smpl: 0.004s, net_loss: 0.584 
[17/11/2018 08:53:01], epoch: 105, t/smpl: 0.004s, net_loss: 0.583 
[17/11/2018 08:53:21], epoch: 106, t/smpl: 0.004s, net_loss: 0.584 
[17/11/2018 08:53:40], epoch: 107, t/smpl: 0.020s, net_loss: 0.582 
[17/11/2018 08:53:59], epoch: 108, t/smpl: 0.000s, net_loss: 0.583 
[17/11/2018 08:54:16], epoch: 109, t/smpl: 0.000s, net_loss: 0.584 
[17/11/2018 08:54:36], epoch: 110, t/smpl: 0.040s, net_loss: 0.582 
[17/11/2018 08:54:56], epoch: 111, t/smpl: 0.008s, net_loss: 0.581 
[17/11/2018 08:55:16], epoch: 112, t/smpl: 0.004s, net_loss: 0.583 
[17/11/2018 08:55:36], epoch: 113, t/smpl: 0.004s, net_loss: 0.583 
[17/11/2018 08:55:57], epoch: 114, t/smpl: 0.004s, net_loss: 0.583 
[17/11/2018 08:56:16], epoch: 115, t/smpl: 0.004s, net_loss: 0.585 
[17/11/2018 08:56:33], epoch: 116, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 08:56:51], epoch: 117, t/smpl: 0.016s, net_loss: 0.581 
[17/11/2018 08:57:08], epoch: 118, t/smpl: 0.000s, net_loss: 0.581 
[17/11/2018 08:57:27], epoch: 119, t/smpl: 0.000s, net_loss: 0.581 
[17/11/2018 08:57:45], epoch: 120, t/smpl: 0.000s, net_loss: 0.580 
[17/11/2018 08:58:02], epoch: 121, t/smpl: 0.004s, net_loss: 0.582 
[17/11/2018 08:58:23], epoch: 122, t/smpl: 0.004s, net_loss: 0.581 
[17/11/2018 08:58:44], epoch: 123, t/smpl: 0.031s, net_loss: 0.582 
[17/11/2018 08:59:01], epoch: 124, t/smpl: 0.000s, net_loss: 0.583 
[17/11/2018 08:59:19], epoch: 125, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 08:59:41], epoch: 126, t/smpl: 0.004s, net_loss: 0.582 
[17/11/2018 09:00:01], epoch: 127, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:00:18], epoch: 128, t/smpl: 0.000s, net_loss: 0.583 
[17/11/2018 09:00:36], epoch: 129, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:00:53], epoch: 130, t/smpl: 0.000s, net_loss: 0.583 
[17/11/2018 09:01:11], epoch: 131, t/smpl: 0.004s, net_loss: 0.583 
[17/11/2018 09:01:29], epoch: 132, t/smpl: 0.000s, net_loss: 0.581 
[17/11/2018 09:01:47], epoch: 133, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:02:07], epoch: 134, t/smpl: 0.000s, net_loss: 0.583 
[17/11/2018 09:02:26], epoch: 135, t/smpl: 0.004s, net_loss: 0.582 
[17/11/2018 09:02:45], epoch: 136, t/smpl: 0.000s, net_loss: 0.581 
[17/11/2018 09:03:02], epoch: 137, t/smpl: 0.004s, net_loss: 0.583 
[17/11/2018 09:03:19], epoch: 138, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:03:38], epoch: 139, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:03:55], epoch: 140, t/smpl: 0.000s, net_loss: 0.583 
[17/11/2018 09:04:13], epoch: 141, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:04:31], epoch: 142, t/smpl: 0.004s, net_loss: 0.583 
[17/11/2018 09:04:50], epoch: 143, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:05:09], epoch: 144, t/smpl: 0.000s, net_loss: 0.581 
[17/11/2018 09:05:28], epoch: 145, t/smpl: 0.004s, net_loss: 0.584 
[17/11/2018 09:05:46], epoch: 146, t/smpl: 0.004s, net_loss: 0.580 
[17/11/2018 09:06:04], epoch: 147, t/smpl: 0.004s, net_loss: 0.582 
[17/11/2018 09:06:22], epoch: 148, t/smpl: 0.004s, net_loss: 0.584 
[17/11/2018 09:06:42], epoch: 149, t/smpl: 0.000s, net_loss: 0.579 
[17/11/2018 09:07:01], epoch: 150, t/smpl: 0.004s, net_loss: 0.583 
[17/11/2018 09:07:19], epoch: 151, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:07:37], epoch: 152, t/smpl: 0.000s, net_loss: 0.585 
[17/11/2018 09:07:55], epoch: 153, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:08:12], epoch: 154, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:08:29], epoch: 155, t/smpl: 0.016s, net_loss: 0.584 
[17/11/2018 09:08:49], epoch: 156, t/smpl: 0.016s, net_loss: 0.581 
[17/11/2018 09:09:07], epoch: 157, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:09:26], epoch: 158, t/smpl: 0.000s, net_loss: 0.581 
[17/11/2018 09:09:48], epoch: 159, t/smpl: 0.004s, net_loss: 0.581 
[17/11/2018 09:10:06], epoch: 160, t/smpl: 0.016s, net_loss: 0.582 
[17/11/2018 09:10:24], epoch: 161, t/smpl: 0.004s, net_loss: 0.580 
[17/11/2018 09:10:41], epoch: 162, t/smpl: 0.016s, net_loss: 0.581 
[17/11/2018 09:10:58], epoch: 163, t/smpl: 0.000s, net_loss: 0.581 
[17/11/2018 09:11:16], epoch: 164, t/smpl: 0.016s, net_loss: 0.582 
[17/11/2018 09:11:33], epoch: 165, t/smpl: 0.000s, net_loss: 0.581 
[17/11/2018 09:11:50], epoch: 166, t/smpl: 0.000s, net_loss: 0.579 
[17/11/2018 09:12:08], epoch: 167, t/smpl: 0.004s, net_loss: 0.581 
[17/11/2018 09:12:27], epoch: 168, t/smpl: 0.024s, net_loss: 0.583 
[17/11/2018 09:12:50], epoch: 169, t/smpl: 0.004s, net_loss: 0.581 
[17/11/2018 09:13:09], epoch: 170, t/smpl: 0.016s, net_loss: 0.581 
[17/11/2018 09:13:26], epoch: 171, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:13:44], epoch: 172, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:14:01], epoch: 173, t/smpl: 0.000s, net_loss: 0.581 
[17/11/2018 09:14:18], epoch: 174, t/smpl: 0.000s, net_loss: 0.581 
[17/11/2018 09:14:34], epoch: 175, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:14:51], epoch: 176, t/smpl: 0.004s, net_loss: 0.581 
[17/11/2018 09:15:08], epoch: 177, t/smpl: 0.000s, net_loss: 0.582 
[17/11/2018 09:15:24], epoch: 178, t/smpl: 0.000s, net_loss: 0.581 
[17/11/2018 09:15:41], epoch: 179, t/smpl: 0.047s, net_loss: 0.581 
[17/11/2018 09:15:57], epoch: 180, t/smpl: 0.016s, net_loss: 0.585 
