[18/11/2018 08:44:24], epoch: 73, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:44:45], epoch: 74, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 08:45:07], epoch: 75, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 08:45:28], epoch: 76, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:45:49], epoch: 77, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:46:10], epoch: 78, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:46:31], epoch: 79, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:46:53], epoch: 80, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 08:47:14], epoch: 81, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 08:47:35], epoch: 82, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:47:56], epoch: 83, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 08:48:17], epoch: 84, t/smpl: 0.029s, net_loss: -1.000 
[18/11/2018 08:48:39], epoch: 85, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:49:00], epoch: 86, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:49:22], epoch: 87, t/smpl: 0.032s, net_loss: -1.000 
[18/11/2018 08:49:43], epoch: 88, t/smpl: 0.030s, net_loss: -1.000 
[18/11/2018 08:50:04], epoch: 89, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:50:25], epoch: 90, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:50:46], epoch: 91, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:51:07], epoch: 92, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:51:28], epoch: 93, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:51:49], epoch: 94, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:52:11], epoch: 95, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 08:52:32], epoch: 96, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:52:53], epoch: 97, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:53:17], epoch: 98, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 08:53:39], epoch: 99, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:54:01], epoch: 100, t/smpl: 0.007s, net_loss: -1.000 
[18/11/2018 08:54:22], epoch: 101, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 08:54:43], epoch: 102, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 08:55:05], epoch: 103, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:55:26], epoch: 104, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 08:55:47], epoch: 105, t/smpl: 0.035s, net_loss: -1.000 
