[16/11/2018 21:56:31], epoch: 1, t/smpl: 0.016s, net_loss: 0.646 
[16/11/2018 21:56:52], epoch: 2, t/smpl: 0.003s, net_loss: 0.624 
[16/11/2018 21:57:15], epoch: 3, t/smpl: 0.035s, net_loss: 0.607 
[16/11/2018 21:57:35], epoch: 4, t/smpl: 0.000s, net_loss: 0.602 
[16/11/2018 21:57:55], epoch: 5, t/smpl: 0.016s, net_loss: 0.600 
[16/11/2018 21:58:15], epoch: 6, t/smpl: 0.000s, net_loss: 0.598 
[16/11/2018 21:58:36], epoch: 7, t/smpl: 0.000s, net_loss: 0.594 
[16/11/2018 21:58:59], epoch: 8, t/smpl: 0.031s, net_loss: 0.593 
[16/11/2018 21:59:28], epoch: 9, t/smpl: 0.047s, net_loss: 0.590 
[16/11/2018 21:59:52], epoch: 10, t/smpl: 0.047s, net_loss: 0.590 
[16/11/2018 22:00:12], epoch: 11, t/smpl: 0.000s, net_loss: 0.591 
[16/11/2018 22:00:32], epoch: 12, t/smpl: 0.016s, net_loss: 0.592 
[16/11/2018 22:00:53], epoch: 13, t/smpl: 0.000s, net_loss: 0.588 
[16/11/2018 22:01:13], epoch: 14, t/smpl: 0.000s, net_loss: 0.591 
[16/11/2018 22:01:34], epoch: 15, t/smpl: 0.000s, net_loss: 0.589 
[16/11/2018 22:01:54], epoch: 16, t/smpl: 0.016s, net_loss: 0.591 
[16/11/2018 22:02:14], epoch: 17, t/smpl: 0.000s, net_loss: 0.587 
[16/11/2018 22:02:34], epoch: 18, t/smpl: 0.000s, net_loss: 0.587 
[16/11/2018 22:02:54], epoch: 19, t/smpl: 0.000s, net_loss: 0.587 
[16/11/2018 22:03:14], epoch: 20, t/smpl: 0.000s, net_loss: 0.586 
[16/11/2018 22:03:36], epoch: 21, t/smpl: 0.031s, net_loss: 0.586 
[16/11/2018 22:04:02], epoch: 22, t/smpl: 0.003s, net_loss: 0.587 
[16/11/2018 22:04:25], epoch: 23, t/smpl: 0.003s, net_loss: 0.585 
[16/11/2018 22:04:46], epoch: 24, t/smpl: 0.003s, net_loss: 0.587 
[16/11/2018 22:05:07], epoch: 25, t/smpl: 0.003s, net_loss: 0.586 
[16/11/2018 22:05:29], epoch: 26, t/smpl: 0.002s, net_loss: 0.585 
[16/11/2018 22:05:51], epoch: 27, t/smpl: 0.003s, net_loss: 0.583 
[16/11/2018 22:06:12], epoch: 28, t/smpl: 0.004s, net_loss: 0.585 
[16/11/2018 22:06:34], epoch: 29, t/smpl: 0.003s, net_loss: 0.584 
[16/11/2018 22:06:57], epoch: 30, t/smpl: 0.003s, net_loss: 0.583 
[16/11/2018 22:07:19], epoch: 31, t/smpl: 0.003s, net_loss: 0.582 
[16/11/2018 22:07:40], epoch: 32, t/smpl: 0.003s, net_loss: 0.583 
[16/11/2018 22:08:02], epoch: 33, t/smpl: 0.035s, net_loss: 0.581 
[16/11/2018 22:09:35], epoch: 34, t/smpl: 0.002s, net_loss: 0.581 
[16/11/2018 22:09:56], epoch: 35, t/smpl: 0.030s, net_loss: 0.583 
[16/11/2018 22:10:18], epoch: 36, t/smpl: 0.019s, net_loss: 0.583 
[16/11/2018 22:10:39], epoch: 37, t/smpl: 0.003s, net_loss: 0.583 
[16/11/2018 22:11:01], epoch: 38, t/smpl: 0.003s, net_loss: 0.581 
[16/11/2018 22:11:22], epoch: 39, t/smpl: 0.004s, net_loss: 0.580 
[16/11/2018 22:11:44], epoch: 40, t/smpl: 0.035s, net_loss: 0.580 
[16/11/2018 22:12:28], epoch: 41, t/smpl: 0.003s, net_loss: 0.578 
[16/11/2018 22:12:53], epoch: 42, t/smpl: 0.003s, net_loss: 0.581 
