[17/11/2018 10:07:08], epoch: 1, t/smpl: 0.000s, net_loss: 0.259 
[17/11/2018 10:07:30], epoch: 2, t/smpl: 0.000s, net_loss: 0.231 
[17/11/2018 10:07:52], epoch: 3, t/smpl: 0.000s, net_loss: 0.230 
[17/11/2018 10:08:13], epoch: 4, t/smpl: 0.000s, net_loss: 0.229 
[17/11/2018 10:08:35], epoch: 5, t/smpl: 0.000s, net_loss: 0.228 
[17/11/2018 10:09:01], epoch: 6, t/smpl: 0.000s, net_loss: 0.228 
[17/11/2018 10:09:24], epoch: 7, t/smpl: 0.000s, net_loss: 0.228 
[17/11/2018 10:09:47], epoch: 8, t/smpl: 0.000s, net_loss: 0.228 
[17/11/2018 10:10:08], epoch: 9, t/smpl: 0.000s, net_loss: 0.228 
[17/11/2018 10:10:30], epoch: 10, t/smpl: 0.000s, net_loss: 0.227 
[17/11/2018 10:10:52], epoch: 11, t/smpl: 0.004s, net_loss: 0.227 
[17/11/2018 10:11:20], epoch: 12, t/smpl: 0.004s, net_loss: 0.227 
[17/11/2018 10:11:45], epoch: 13, t/smpl: 0.004s, net_loss: 0.227 
[17/11/2018 10:12:08], epoch: 14, t/smpl: 0.016s, net_loss: 0.226 
[17/11/2018 10:12:45], epoch: 15, t/smpl: 0.004s, net_loss: 0.226 
[17/11/2018 10:13:24], epoch: 16, t/smpl: 0.000s, net_loss: 0.226 
[17/11/2018 10:13:46], epoch: 17, t/smpl: 0.004s, net_loss: 0.226 
[17/11/2018 10:14:08], epoch: 18, t/smpl: 0.004s, net_loss: 0.225 
[17/11/2018 10:14:30], epoch: 19, t/smpl: 0.004s, net_loss: 0.226 
[17/11/2018 10:14:52], epoch: 20, t/smpl: 0.004s, net_loss: 0.226 
[17/11/2018 10:15:13], epoch: 21, t/smpl: 0.004s, net_loss: 0.226 
[17/11/2018 10:15:35], epoch: 22, t/smpl: 0.000s, net_loss: 0.225 
[17/11/2018 10:15:56], epoch: 23, t/smpl: 0.004s, net_loss: 0.226 
[17/11/2018 10:16:18], epoch: 24, t/smpl: 0.004s, net_loss: 0.225 
[17/11/2018 10:16:39], epoch: 25, t/smpl: 0.004s, net_loss: 0.225 
[17/11/2018 10:17:01], epoch: 26, t/smpl: 0.000s, net_loss: 0.225 
[17/11/2018 10:17:22], epoch: 27, t/smpl: 0.004s, net_loss: 0.226 
[17/11/2018 10:17:44], epoch: 28, t/smpl: 0.004s, net_loss: 0.225 
[17/11/2018 10:18:05], epoch: 29, t/smpl: 0.004s, net_loss: 0.225 
[17/11/2018 10:18:27], epoch: 30, t/smpl: 0.004s, net_loss: 0.226 
[17/11/2018 10:18:49], epoch: 31, t/smpl: 0.004s, net_loss: 0.225 
[17/11/2018 10:19:11], epoch: 32, t/smpl: 0.036s, net_loss: 0.225 
[17/11/2018 10:19:32], epoch: 33, t/smpl: 0.004s, net_loss: 0.225 
[17/11/2018 10:19:54], epoch: 34, t/smpl: 0.004s, net_loss: 0.225 
[17/11/2018 10:20:16], epoch: 35, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:20:37], epoch: 36, t/smpl: 0.000s, net_loss: 0.225 
[17/11/2018 10:21:01], epoch: 37, t/smpl: 0.004s, net_loss: 0.225 
[17/11/2018 10:21:23], epoch: 38, t/smpl: 0.004s, net_loss: 0.225 
[17/11/2018 10:21:45], epoch: 39, t/smpl: 0.000s, net_loss: 0.225 
[17/11/2018 10:22:06], epoch: 40, t/smpl: 0.004s, net_loss: 0.225 
[17/11/2018 10:22:28], epoch: 41, t/smpl: 0.004s, net_loss: 0.225 
[17/11/2018 10:22:53], epoch: 42, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:23:17], epoch: 43, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:23:42], epoch: 44, t/smpl: 0.000s, net_loss: 0.224 
[17/11/2018 10:24:06], epoch: 45, t/smpl: 0.004s, net_loss: 0.225 
[17/11/2018 10:24:31], epoch: 46, t/smpl: 0.008s, net_loss: 0.224 
[17/11/2018 10:24:55], epoch: 47, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:25:20], epoch: 48, t/smpl: 0.000s, net_loss: 0.225 
[17/11/2018 10:25:44], epoch: 49, t/smpl: 0.000s, net_loss: 0.225 
[17/11/2018 10:26:08], epoch: 50, t/smpl: 0.004s, net_loss: 0.225 
[17/11/2018 10:26:32], epoch: 51, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:26:56], epoch: 52, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:27:21], epoch: 53, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:27:45], epoch: 54, t/smpl: 0.000s, net_loss: 0.224 
[17/11/2018 10:28:09], epoch: 55, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:28:34], epoch: 56, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:28:59], epoch: 57, t/smpl: 0.000s, net_loss: 0.224 
[17/11/2018 10:29:23], epoch: 58, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:29:47], epoch: 59, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:30:11], epoch: 60, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:30:35], epoch: 61, t/smpl: 0.000s, net_loss: 0.224 
[17/11/2018 10:31:01], epoch: 62, t/smpl: 0.000s, net_loss: 0.224 
[17/11/2018 10:31:25], epoch: 63, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:31:49], epoch: 64, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:32:13], epoch: 65, t/smpl: 0.004s, net_loss: 0.223 
[17/11/2018 10:32:35], epoch: 66, t/smpl: 0.040s, net_loss: 0.224 
[17/11/2018 10:32:56], epoch: 67, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:33:17], epoch: 68, t/smpl: 0.004s, net_loss: 0.223 
[17/11/2018 10:33:38], epoch: 69, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:33:59], epoch: 70, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:34:20], epoch: 71, t/smpl: 0.036s, net_loss: 0.223 
[17/11/2018 10:34:41], epoch: 72, t/smpl: 0.000s, net_loss: 0.224 
[17/11/2018 10:35:02], epoch: 73, t/smpl: 0.004s, net_loss: 0.224 
[17/11/2018 10:35:23], epoch: 74, t/smpl: 0.000s, net_loss: 0.223 
