[16/11/2018 18:06:45], epoch: 1, t/smpl: 0.000s, net_loss: 0.617 
[16/11/2018 18:07:08], epoch: 2, t/smpl: 0.031s, net_loss: 0.592 
[16/11/2018 18:07:30], epoch: 3, t/smpl: 0.000s, net_loss: 0.589 
[16/11/2018 18:07:52], epoch: 4, t/smpl: 0.016s, net_loss: 0.588 
[16/11/2018 18:08:13], epoch: 5, t/smpl: 0.003s, net_loss: 0.588 
[16/11/2018 18:08:36], epoch: 6, t/smpl: 0.000s, net_loss: 0.586 
[16/11/2018 18:08:59], epoch: 7, t/smpl: 0.000s, net_loss: 0.584 
[16/11/2018 18:09:21], epoch: 8, t/smpl: 0.000s, net_loss: 0.582 
[16/11/2018 18:09:43], epoch: 9, t/smpl: 0.000s, net_loss: 0.583 
[16/11/2018 18:10:05], epoch: 10, t/smpl: 0.000s, net_loss: 0.583 
[16/11/2018 18:10:27], epoch: 11, t/smpl: 0.000s, net_loss: 0.581 
[16/11/2018 18:10:51], epoch: 12, t/smpl: 0.003s, net_loss: 0.582 
[16/11/2018 18:11:19], epoch: 13, t/smpl: 0.013s, net_loss: 0.579 
[16/11/2018 18:11:43], epoch: 14, t/smpl: 0.016s, net_loss: 0.580 
[16/11/2018 18:12:09], epoch: 15, t/smpl: 0.004s, net_loss: 0.580 
[16/11/2018 18:12:34], epoch: 16, t/smpl: 0.003s, net_loss: 0.579 
[16/11/2018 18:12:59], epoch: 17, t/smpl: 0.000s, net_loss: 0.576 
[16/11/2018 18:13:22], epoch: 18, t/smpl: 0.003s, net_loss: 0.578 
[16/11/2018 18:13:49], epoch: 19, t/smpl: 0.003s, net_loss: 0.577 
[16/11/2018 18:14:12], epoch: 20, t/smpl: 0.000s, net_loss: 0.576 
[16/11/2018 18:14:33], epoch: 21, t/smpl: 0.000s, net_loss: 0.572 
[16/11/2018 18:14:55], epoch: 22, t/smpl: 0.000s, net_loss: 0.573 
[16/11/2018 18:15:16], epoch: 23, t/smpl: 0.016s, net_loss: 0.573 
[16/11/2018 18:15:38], epoch: 24, t/smpl: 0.000s, net_loss: 0.576 
[16/11/2018 18:15:59], epoch: 25, t/smpl: 0.000s, net_loss: 0.574 
[16/11/2018 18:16:20], epoch: 26, t/smpl: 0.003s, net_loss: 0.573 
[16/11/2018 18:16:42], epoch: 27, t/smpl: 0.000s, net_loss: 0.573 
[16/11/2018 18:17:03], epoch: 28, t/smpl: 0.000s, net_loss: 0.573 
[16/11/2018 18:17:25], epoch: 29, t/smpl: 0.000s, net_loss: 0.572 
[16/11/2018 18:17:46], epoch: 30, t/smpl: 0.000s, net_loss: 0.573 
[16/11/2018 18:18:08], epoch: 31, t/smpl: 0.000s, net_loss: 0.572 
[16/11/2018 18:18:30], epoch: 32, t/smpl: 0.000s, net_loss: 0.573 
[16/11/2018 18:18:52], epoch: 33, t/smpl: 0.016s, net_loss: 0.571 
[16/11/2018 18:19:15], epoch: 34, t/smpl: 0.000s, net_loss: 0.571 
[16/11/2018 18:19:40], epoch: 35, t/smpl: 0.000s, net_loss: 0.568 
[16/11/2018 18:20:04], epoch: 36, t/smpl: 0.000s, net_loss: 0.570 
[16/11/2018 18:20:29], epoch: 37, t/smpl: 0.000s, net_loss: 0.568 
[16/11/2018 18:20:52], epoch: 38, t/smpl: 0.000s, net_loss: 0.569 
[16/11/2018 18:21:18], epoch: 39, t/smpl: 0.000s, net_loss: 0.567 
[16/11/2018 18:21:42], epoch: 40, t/smpl: 0.000s, net_loss: 0.566 
[16/11/2018 18:22:07], epoch: 41, t/smpl: 0.000s, net_loss: 0.565 
[16/11/2018 18:22:31], epoch: 42, t/smpl: 0.000s, net_loss: 0.567 
[16/11/2018 18:22:55], epoch: 43, t/smpl: 0.000s, net_loss: 0.563 
[16/11/2018 18:23:20], epoch: 44, t/smpl: 0.000s, net_loss: 0.568 
[16/11/2018 18:23:45], epoch: 45, t/smpl: 0.000s, net_loss: 0.565 
[16/11/2018 18:24:09], epoch: 46, t/smpl: 0.000s, net_loss: 0.565 
[16/11/2018 18:24:34], epoch: 47, t/smpl: 0.000s, net_loss: 0.565 
[16/11/2018 18:24:58], epoch: 48, t/smpl: 0.000s, net_loss: 0.564 
[16/11/2018 18:25:22], epoch: 49, t/smpl: 0.016s, net_loss: 0.563 
[16/11/2018 18:25:47], epoch: 50, t/smpl: 0.000s, net_loss: 0.562 
[16/11/2018 18:26:11], epoch: 51, t/smpl: 0.016s, net_loss: 0.564 
[16/11/2018 18:26:36], epoch: 52, t/smpl: 0.000s, net_loss: 0.563 
[16/11/2018 18:27:00], epoch: 53, t/smpl: 0.000s, net_loss: 0.562 
[16/11/2018 18:27:25], epoch: 54, t/smpl: 0.004s, net_loss: 0.562 
[16/11/2018 18:27:51], epoch: 55, t/smpl: 0.004s, net_loss: 0.561 
[16/11/2018 18:28:25], epoch: 56, t/smpl: 0.016s, net_loss: 0.561 
[16/11/2018 18:28:55], epoch: 57, t/smpl: 0.004s, net_loss: 0.561 
[16/11/2018 18:29:19], epoch: 58, t/smpl: 0.000s, net_loss: 0.561 
[16/11/2018 18:29:40], epoch: 59, t/smpl: 0.000s, net_loss: 0.560 
[16/11/2018 18:30:03], epoch: 60, t/smpl: 0.000s, net_loss: 0.560 
[16/11/2018 18:30:26], epoch: 61, t/smpl: 0.000s, net_loss: 0.562 
[16/11/2018 18:30:49], epoch: 62, t/smpl: 0.016s, net_loss: 0.562 
[16/11/2018 18:31:13], epoch: 63, t/smpl: 0.016s, net_loss: 0.559 
[16/11/2018 18:31:34], epoch: 64, t/smpl: 0.000s, net_loss: 0.562 
[16/11/2018 18:31:56], epoch: 65, t/smpl: 0.016s, net_loss: 0.559 
[16/11/2018 18:32:17], epoch: 66, t/smpl: 0.000s, net_loss: 0.561 
[16/11/2018 18:32:38], epoch: 67, t/smpl: 0.004s, net_loss: 0.558 
[16/11/2018 18:33:00], epoch: 68, t/smpl: 0.016s, net_loss: 0.558 
[16/11/2018 18:33:21], epoch: 69, t/smpl: 0.000s, net_loss: 0.559 
[16/11/2018 18:33:43], epoch: 70, t/smpl: 0.000s, net_loss: 0.559 
[16/11/2018 18:34:05], epoch: 71, t/smpl: 0.000s, net_loss: 0.557 
[16/11/2018 18:34:26], epoch: 72, t/smpl: 0.000s, net_loss: 0.557 
[16/11/2018 18:34:48], epoch: 73, t/smpl: 0.000s, net_loss: 0.558 
[16/11/2018 18:35:09], epoch: 74, t/smpl: 0.000s, net_loss: 0.557 
[16/11/2018 18:35:31], epoch: 75, t/smpl: 0.000s, net_loss: 0.558 
[16/11/2018 18:35:52], epoch: 76, t/smpl: 0.016s, net_loss: 0.557 
[16/11/2018 18:36:13], epoch: 77, t/smpl: 0.000s, net_loss: 0.557 
[16/11/2018 18:36:35], epoch: 78, t/smpl: 0.000s, net_loss: 0.556 
[16/11/2018 18:36:57], epoch: 79, t/smpl: 0.000s, net_loss: 0.557 
[16/11/2018 18:37:19], epoch: 80, t/smpl: 0.047s, net_loss: 0.557 
[16/11/2018 18:37:40], epoch: 81, t/smpl: 0.000s, net_loss: 0.556 
[16/11/2018 18:38:01], epoch: 82, t/smpl: 0.003s, net_loss: 0.556 
[16/11/2018 18:38:23], epoch: 83, t/smpl: 0.000s, net_loss: 0.558 
[16/11/2018 18:38:46], epoch: 84, t/smpl: 0.000s, net_loss: 0.554 
[16/11/2018 18:39:07], epoch: 85, t/smpl: 0.000s, net_loss: 0.554 
[16/11/2018 18:39:28], epoch: 86, t/smpl: 0.000s, net_loss: 0.556 
[16/11/2018 18:39:50], epoch: 87, t/smpl: 0.000s, net_loss: 0.556 
[16/11/2018 18:40:11], epoch: 88, t/smpl: 0.000s, net_loss: 0.557 
[16/11/2018 18:40:32], epoch: 89, t/smpl: 0.000s, net_loss: 0.552 
[16/11/2018 18:40:54], epoch: 90, t/smpl: 0.000s, net_loss: 0.554 
[16/11/2018 18:41:16], epoch: 91, t/smpl: 0.016s, net_loss: 0.554 
[16/11/2018 18:41:38], epoch: 92, t/smpl: 0.000s, net_loss: 0.552 
[16/11/2018 18:41:59], epoch: 93, t/smpl: 0.000s, net_loss: 0.553 
[16/11/2018 18:42:21], epoch: 94, t/smpl: 0.000s, net_loss: 0.555 
[16/11/2018 18:42:45], epoch: 95, t/smpl: 0.016s, net_loss: 0.552 
[16/11/2018 18:43:10], epoch: 96, t/smpl: 0.000s, net_loss: 0.552 
[16/11/2018 18:43:34], epoch: 97, t/smpl: 0.000s, net_loss: 0.553 
[16/11/2018 18:43:58], epoch: 98, t/smpl: 0.016s, net_loss: 0.553 
[16/11/2018 18:44:22], epoch: 99, t/smpl: 0.000s, net_loss: 0.553 
[16/11/2018 18:44:47], epoch: 100, t/smpl: 0.000s, net_loss: 0.554 
[16/11/2018 18:45:11], epoch: 101, t/smpl: 0.000s, net_loss: 0.551 
[16/11/2018 18:45:35], epoch: 102, t/smpl: 0.005s, net_loss: 0.553 
[16/11/2018 18:46:00], epoch: 103, t/smpl: 0.000s, net_loss: 0.553 
[16/11/2018 18:46:24], epoch: 104, t/smpl: 0.003s, net_loss: 0.552 
[16/11/2018 18:46:49], epoch: 105, t/smpl: 0.000s, net_loss: 0.551 
[16/11/2018 18:47:13], epoch: 106, t/smpl: 0.000s, net_loss: 0.550 
[16/11/2018 18:47:38], epoch: 107, t/smpl: 0.000s, net_loss: 0.550 
[16/11/2018 18:48:02], epoch: 108, t/smpl: 0.000s, net_loss: 0.552 
[16/11/2018 18:48:27], epoch: 109, t/smpl: 0.000s, net_loss: 0.549 
[16/11/2018 18:48:53], epoch: 110, t/smpl: 0.000s, net_loss: 0.552 
[16/11/2018 18:49:17], epoch: 111, t/smpl: 0.000s, net_loss: 0.550 
[16/11/2018 18:49:41], epoch: 112, t/smpl: 0.016s, net_loss: 0.552 
[16/11/2018 18:50:06], epoch: 113, t/smpl: 0.000s, net_loss: 0.553 
[16/11/2018 18:50:30], epoch: 114, t/smpl: 0.000s, net_loss: 0.553 
[16/11/2018 18:50:54], epoch: 115, t/smpl: 0.000s, net_loss: 0.550 
[16/11/2018 18:51:19], epoch: 116, t/smpl: 0.000s, net_loss: 0.549 
[16/11/2018 18:51:43], epoch: 117, t/smpl: 0.016s, net_loss: 0.549 
[16/11/2018 18:52:07], epoch: 118, t/smpl: 0.000s, net_loss: 0.549 
[16/11/2018 18:52:30], epoch: 119, t/smpl: 0.000s, net_loss: 0.550 
[16/11/2018 18:52:52], epoch: 120, t/smpl: 0.016s, net_loss: 0.550 
[16/11/2018 18:53:13], epoch: 121, t/smpl: 0.000s, net_loss: 0.549 
[16/11/2018 18:53:35], epoch: 122, t/smpl: 0.000s, net_loss: 0.550 
[16/11/2018 18:53:56], epoch: 123, t/smpl: 0.000s, net_loss: 0.547 
[16/11/2018 18:54:18], epoch: 124, t/smpl: 0.000s, net_loss: 0.549 
[16/11/2018 18:54:40], epoch: 125, t/smpl: 0.000s, net_loss: 0.548 
[16/11/2018 18:55:01], epoch: 126, t/smpl: 0.000s, net_loss: 0.549 
[16/11/2018 18:55:23], epoch: 127, t/smpl: 0.000s, net_loss: 0.549 
[16/11/2018 18:55:44], epoch: 128, t/smpl: 0.016s, net_loss: 0.549 
[16/11/2018 18:56:05], epoch: 129, t/smpl: 0.000s, net_loss: 0.548 
[16/11/2018 18:56:27], epoch: 130, t/smpl: 0.000s, net_loss: 0.548 
[16/11/2018 18:56:48], epoch: 131, t/smpl: 0.000s, net_loss: 0.548 
[16/11/2018 18:57:09], epoch: 132, t/smpl: 0.004s, net_loss: 0.548 
[16/11/2018 18:57:31], epoch: 133, t/smpl: 0.000s, net_loss: 0.547 
[16/11/2018 18:57:52], epoch: 134, t/smpl: 0.000s, net_loss: 0.546 
[16/11/2018 18:58:14], epoch: 135, t/smpl: 0.000s, net_loss: 0.546 
[16/11/2018 18:58:35], epoch: 136, t/smpl: 0.000s, net_loss: 0.547 
[16/11/2018 18:58:57], epoch: 137, t/smpl: 0.000s, net_loss: 0.548 
[16/11/2018 18:59:18], epoch: 138, t/smpl: 0.000s, net_loss: 0.548 
[16/11/2018 18:59:39], epoch: 139, t/smpl: 0.001s, net_loss: 0.548 
[16/11/2018 19:00:01], epoch: 140, t/smpl: 0.000s, net_loss: 0.547 
[16/11/2018 19:00:22], epoch: 141, t/smpl: 0.000s, net_loss: 0.547 
[16/11/2018 19:00:43], epoch: 142, t/smpl: 0.000s, net_loss: 0.548 
[16/11/2018 19:01:07], epoch: 143, t/smpl: 0.000s, net_loss: 0.547 
[16/11/2018 19:01:28], epoch: 144, t/smpl: 0.000s, net_loss: 0.547 
[16/11/2018 19:01:49], epoch: 145, t/smpl: 0.000s, net_loss: 0.545 
[16/11/2018 19:02:11], epoch: 146, t/smpl: 0.000s, net_loss: 0.547 
[16/11/2018 19:02:32], epoch: 147, t/smpl: 0.000s, net_loss: 0.545 
[16/11/2018 19:02:53], epoch: 148, t/smpl: 0.001s, net_loss: 0.547 
[16/11/2018 19:03:15], epoch: 149, t/smpl: 0.000s, net_loss: 0.545 
[16/11/2018 19:03:37], epoch: 150, t/smpl: 0.000s, net_loss: 0.546 
[16/11/2018 19:03:58], epoch: 151, t/smpl: 0.000s, net_loss: 0.546 
[16/11/2018 19:04:20], epoch: 152, t/smpl: 0.000s, net_loss: 0.547 
[16/11/2018 19:04:41], epoch: 153, t/smpl: 0.000s, net_loss: 0.544 
[16/11/2018 19:05:02], epoch: 154, t/smpl: 0.000s, net_loss: 0.545 
[16/11/2018 19:05:23], epoch: 155, t/smpl: 0.000s, net_loss: 0.546 
[16/11/2018 19:05:44], epoch: 156, t/smpl: 0.016s, net_loss: 0.546 
[16/11/2018 19:06:05], epoch: 157, t/smpl: 0.000s, net_loss: 0.547 
[16/11/2018 19:06:26], epoch: 158, t/smpl: 0.000s, net_loss: 0.544 
[16/11/2018 19:06:47], epoch: 159, t/smpl: 0.000s, net_loss: 0.544 
[16/11/2018 19:07:08], epoch: 160, t/smpl: 0.000s, net_loss: 0.545 
[16/11/2018 19:07:30], epoch: 161, t/smpl: 0.000s, net_loss: 0.546 
[16/11/2018 19:07:52], epoch: 162, t/smpl: 0.000s, net_loss: 0.546 
[16/11/2018 19:08:13], epoch: 163, t/smpl: 0.000s, net_loss: 0.544 
[16/11/2018 19:08:34], epoch: 164, t/smpl: 0.000s, net_loss: 0.547 
[16/11/2018 19:08:56], epoch: 165, t/smpl: 0.000s, net_loss: 0.543 
[16/11/2018 19:09:17], epoch: 166, t/smpl: 0.000s, net_loss: 0.543 
[16/11/2018 19:09:38], epoch: 167, t/smpl: 0.000s, net_loss: 0.547 
[16/11/2018 19:09:59], epoch: 168, t/smpl: 0.000s, net_loss: 0.543 
[16/11/2018 19:10:20], epoch: 169, t/smpl: 0.000s, net_loss: 0.544 
[16/11/2018 19:10:41], epoch: 170, t/smpl: 0.003s, net_loss: 0.544 
[16/11/2018 19:11:04], epoch: 171, t/smpl: 0.000s, net_loss: 0.544 
[16/11/2018 19:11:25], epoch: 172, t/smpl: 0.000s, net_loss: 0.541 
[16/11/2018 19:11:46], epoch: 173, t/smpl: 0.000s, net_loss: 0.544 
[16/11/2018 19:12:07], epoch: 174, t/smpl: 0.000s, net_loss: 0.544 
[16/11/2018 19:12:29], epoch: 175, t/smpl: 0.000s, net_loss: 0.543 
[16/11/2018 19:12:50], epoch: 176, t/smpl: 0.000s, net_loss: 0.545 
[16/11/2018 19:13:11], epoch: 177, t/smpl: 0.000s, net_loss: 0.542 
[16/11/2018 19:13:32], epoch: 178, t/smpl: 0.000s, net_loss: 0.546 
[16/11/2018 19:13:53], epoch: 179, t/smpl: 0.000s, net_loss: 0.544 
[16/11/2018 19:14:15], epoch: 180, t/smpl: 0.000s, net_loss: 0.544 
